매출관리 & CRM Health - 신규고객 유치/관리 & 기존고객관리는 잘되고 있는가?,,,,,,,,,,
,,,,,,,,,,
"단계별 
핵심지표",KPI,계산식,목표값,Input Data,Input Data 생성방법,의미,"직원 수준 
(FC/트레이너/GX·필라테스)",지점 수준,본사 수준,상향 관계 설명
프리-온보딩,신규 DB 생성 수,월 신규 문의/상담 DB 생성 건수,"소형: 40-60건, 
중형: 80-120건, 
대형: 150-200건","1. FC 신규 DB 응대 수
2. 트레이너: 체험 PT 제안수
3. GX 신규 DB 응대 수",1. 신규 문의 시 FC/GX/PT 트레이너가 저장한 Data를 가져온다,프리온보딩 파이프라인 진입 규모. 마케팅 효과와 직원 응대 누락 여부를 측정하는 최상위 유입 지표.,"FC: 신규 DB 응대율 (95%↑) 
/ 24시간 내 첫 접촉율 (90%↑) 
/ 트레이너: 체험 PT 제안율 (80%↑)",월 신규 DB 생성 수 / 채널별 DB 분포 (전화/카톡/온라인/방문),전체 DB 생성 추이 / 채널별 효율 분석 / 광고 ROI 측정,"FC 응대율 ↑ → 지점 DB 생성 ↑ → 본사 잠재고객 풀 확대 ↑. 
트레이너 체험 제안으로 상담 품질 강화."
,"상담 전환율 
(DB → 방문)",(방문 완료 DB / 전체 신규 DB) × 100,40-50%,"1. 방문완료 회원 데이터
2. 신규 DB 생성 수","1. 신규 문의 시 FC/GX/PT 트레이너가 저장한 Data를 가져온다
2. 직원 앱(FC/GX/PT 트레이너)에서 방문 상담 진행 시 입력되어 저장된 Data를 가져온다",프리온보딩 상담 품질 측정. 상담 후 실제 방문/체험으로 이어지는 비율로 FC의 상담 스크립트 및 팔로우업 품질을 평가.,"FC: 상담 → 방문 전환율 (45%↑) 
/ 팔로우업 TM 완료율 (90%↑) 
/ 트레이너: 체험 예약 확정율 (70%↑)",방문 전환율 / 상담 단계별 전환 분석 (P1→P2→P3→P4),전체 방문 전환율 평균 / 지점별 비교 / 상담 품질 표준화,"FC 팔로우업 ↑ → 트레이너 체험 예약 ↑ → 지점 방문율 ↑ 
→ 본사 등록 기반 강화. 
CTI 녹취·STT로 상담 품질 분석."
,"등록 전환율 
(방문 → 등록)",(등록 완료 회원 수 / 방문 완료 DB) × 100,60-70%,"1. 등록 회원 데이터
2. 방문완료 회원 데이터","1. 직원 앱(FC/GX/PT 트레이너)에서 방문 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다",프리온보딩 최종 성과 지표. 방문 후 실제 등록으로 이어지는 비율로 투어·시설·상담·체험 품질의 종합 평가.,"FC: 투어 스크립트 준수율 (95%↑) 
/ 등록 전환율 (65%↑)
 / 트레이너: PT 체험 만족도 (4.5/5.0↑) 
/ GX: 첫 GX 체험 참여율 (30%↑)",등록 전환율 / 시설 청결도 점수 (4.5↑) / 첫 방문 만족도 (4.3↑),전체 등록 전환율 / 지점별 랭킹 / 프리온보딩 ROI (마케팅 비용 대비 등록 매출),"트레이너 체험 만족 ↑ + GX 참여 ↑ → FC 전환 ↑ → 지점 등록 ↑
 → 본사 신규 매출 ↑. 
DB 단계별 전환 데이터로 병목 지점 개선."
,DB 생존율 (30일),(30일 내 활동 DB / 전체 신규 등록회원 DB) × 100,25-35%,"1. 30일 내 활동 DB 데이터
2. 전체 신규 등록회원 DB 데이터","1. CRM 시스템에 저장된 Data (30일 내 활동 DB 데이터, 전체 신규 등록회원 DB 데이터) 를 가져온다",프리온보딩 DB의 장기 생존 품질. 30일 내 팔로우업·재상담·등록 등 활동이 지속되는 비율로 DB 관리 효율 측정.,"FC: 30일 팔로우업 완료율 (85%↑) 
/ 재상담 전환율 (20%↑) 
/ 트레이너: 체험 후 재접촉율 (60%↑)",DB 생존율 추이 / 단계별 이탈 분석 (P1→P2→P3→P4→P5),전체 DB 생존율 / 채널별 생존율 비교 / DB 손실 예방 캠페인 효과,"FC 팔로우업 ↑ + 트레이너 재접촉 ↑ → 지점 DB 생존 ↑ 
→ 본사 잠재매출 보호 ↑.
 AI 기반 AT-RISK DB 자동 감지로 이탈 방지."
,CTI 통화 녹취율,(녹취 완료 통화 / 전체 상담 통화) × 100,95%↑,"1. 녹취 완료 통화수
2. 전체 상담 통화수","1. CRM 시스템에 저장된 Data (녹취 완료 통화수, 전체 상담 통화수) 를 가져온다",CTI 시스템 활용도 및 상담 데이터 완전성. 모든 통화가 녹취·STT 변환되어 상담 품질 분석 및 교육에 활용 가능.,"FC: CTI 시스템 사용률 (98%↑) 
/ 녹취 데이터 CRM 자동 입력율 (99%↑)","녹취율 / STT 키워드 분석 (가격, 부담, 시간 등) / 상담 품질 점수",전체 녹취 데이터 축적량 / AI 상담 품질 분석 / 우수 상담 스크립트 추출,"FC CTI 활용 ↑ → 지점 상담 데이터 완전성 ↑ 
→ 본사 AI 학습 데이터 확보 ↑. 
세일즈북 자동 업데이트 및 교육 품질 향상."
,리드 응대 시간,(DB 생성 시점 ~ 첫 상담 완료 시점) 평균 시간,24시간 이내,"1. 상담 진행 데이터
2. 등록 회원 데이터
3. 신규 DB/리드 데이터
4. 리드 생성 시각 데이터
5. 리드 응대 시각 데이터","1. 직원 앱(FC)에서 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다
3. CRM 시스템에 신규 문의 시 자동 생성되어 저장된 Data를 가져온다
4. CRM에 리드가 생성된 시각이 자동으로 저장된 Data를 가져온다
5. 직원이 리드에 첫 응대(통화/메시지)한 시각이 CRM에 저장된 Data를 가져온다",신규 DB 응대 속도. 문의 발생 후 첫 접촉까지의 시간으로 리드 누락 및 기회 손실을 최소화하는 지표.,"FC: 24시간 내 첫 접촉율 (90%↑) 
/ 리드 응대 완료율 (95%↑) 
/트레이너:체험 예약확정속도 (48시간이내)",평균 응대 시간 / 리드 누락률 (3%↓) / 응대 지연 건수,전체 평균 응대 시간 / 지점별 응대 품질 비교 / AI 자동 배정 효율,"FC 응대 속도 ↑ → 지점 리드 누락 ↓ → 본사 잠재매출 보호 ↑.
AI 기반 Today Tasks 자동 생성으로 응대 우선순위 최적화."
신규 유치 (Acquisition),신규 유입수,월 신규회원 수,"소형: 20-30명, 
중형: 40-60명, 
대형: 80-120명",9,1. 시스템에 저장된 관련 Data(월 신규회원 수)를 가져온다,"마케팅·영업 효과 
측정","FC: 신규 상담 전환율 (35%↑) 
/ GX: 신규 유입 (목표 5명/월)","월 신규 등록 수 
/ 온라인 유입 비중","전체 지점 신규 순증가 
/ 전환율 평균","FC 상담 전환 ↑ → 지점 신규 유입 ↑ → 본사 매출 기반 강화. 
배지 엔진 초기 지급으로 유치 촉진."
,신규 등록 전환율,(등록자 / 상담자) × 100,35-40%,"1. 상담 진행 데이터
2. 등록 회원 데이터","1. 직원 앱(FC)에서 상담 진행 시 입력되어 저장된 Data를 가져온다
2. 회원 계약 및 등록 시 저장된 Data를 가져온다",상담 품질 평가,"FC: TM 완료율 (90%↑) 
/ 트레이너: PT 체험 유도율",첫 방문 전환율 (목표 70%),"지점별 전환율 비교
 / 리드 누락률 (3%↓)","트레이너 PT 체험 ↑ → FC 전환율 ↑ → 지점 전환율 ↑ 
→ 본사 신규 안정화."
,온라인 유입 비중,(온라인 가입 / 총 가입) × 100,30%↑,"1. 온라인 가입 데이터
2. 총 가입 데이터",1. 시스템에 저장된 관련 Data를 가져온다,디지털 마케팅 효과,"FC: 온라인 리드 상담율 
/ GX: SNS 미션 기여",채널별 세분화 (네이버/인스타),"전체 온라인 비중
 / 마케팅 ROI","GX SNS 미션 ↑ → 온라인 유입 ↑ → 지점 가입 ↑ 
→ 본사 마케팅 예산 최적화."
,첫 방문 전환율,(가입 / 투어 참여) × 100,70%↑,"1. 가입 데이터
2. 투어 참여 데이터",1. 시스템에 저장된 관련 Data를 가져온다,센터 첫인상 평가,"FC: 투어 스크립트 준수율 
/ 트레이너: 체험 수업 제공율",시설 청결 점수 (90점↑),지점별 첫 방문율 랭킹,"트레이너 체험 ↑ → FC 전환 ↑ → 지점 청결 유지 
→ 본사 브랜드 강화."
