요구사항ID,도메인,요구사항,관계유형,관련 요구사항ID,관계 설명,요구 설명,우선순위,3사/핏지니 포함여부,대표 출처,중복 병합 출처 수,비고
REQ-MBR-001,회원관리,AI 기반 재등록 타이밍 최적화,유사연계,"REQ-STF-032, REQ-HQ-106, REQ-MKT-006, REQ-HQ-107, REQ-HQ-108, REQ-STF-026","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 권한/역할, 자동알림/메시지. 예: REQ-STF-032 재등록, REQ-HQ-106 재등록률, REQ-MKT-006 CAC 최적화 AI 분석, REQ-HQ-107 재등록률 비교",시스템=; KPI=재등록 전환율 (FC); 효과=회원별 최적 재등록 타이밍을 AI가 예측하여 FC에게 알림. 정확한 타이밍 접촉으로 재등록율 50%+ 달성; 흐름=회원 이용 패턴 → AI 타이밍 예측 → FC 알림 → 상담 진행 → 재등록율 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R28,1,대시보드/KPI
REQ-MBR-002,회원관리,AI 상담 스크립트 실시간 추천,유사연계,"REQ-RSV-023, REQ-HQ-001, REQ-MKT-022, REQ-CLS-017, REQ-STF-028, REQ-HQ-102","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 권한/역할. 예: REQ-RSV-023 시간대 추천, REQ-HQ-001 AI One-Line 추천 리스트, REQ-MKT-022 실시간 경고/알림 노출, REQ-CLS-017 PT 종료 자동 감지 및 재구매 상담 리스트 생성","시스템=4) AI 상담·세일즈북·자동 레코딩

여기서 AI는 6개월이상은 Rule base임
DB가 축적된이후 생성형 AI; KPI=신규 상담 전환율 (FC); 효과=회원 프로필 분석 기반 AI 맞춤 상담 스크립트 실시간 제공. FC 상담 품질 향상으로 전환율 35%+ 달성; 흐름=회원 프로필 → AI 분석 → 맞춤 스크립트 생성 → FC 앱 표시 → 전환율 측정",,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R26,1,대시보드/KPI
REQ-MBR-003,회원관리,AI 이탈 예측 및 방지 스크립트,유사연계,"REQ-HQ-001, REQ-MKT-028, REQ-HQ-098, REQ-HQ-102, REQ-STF-002, REQ-CLS-017","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 권한/역할. 예: REQ-HQ-001 AI One-Line 추천 리스트, REQ-MKT-028 자동알림(이탈위험) 트리거, REQ-HQ-098 이탈률, REQ-HQ-102 자동 생성 Task 리스트",시스템=; KPI=이탈률 (Branch Manager); 효과=회원 행동 패턴 AI 분석으로 이탈 위험 조기 감지. 맞춤 방지 스크립트 제공으로 이탈률 15% 이하 달성; 흐름=회원 행동 데이터 → AI 이탈 예측 → 방지 스크립트 생성 → FC 상담 → 이탈률 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R30,1,대시보드/KPI
REQ-MBR-004,회원관리,AI 통합 분석(온핏 분석),유사연계,"REQ-FAC-057, REQ-FAC-004, REQ-FAC-043, REQ-APP-012, REQ-FAC-008, REQ-FAC-053","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=체성분/인바디, 출입/키오스크/모바일. 예: REQ-FAC-057 회원 건강 연동(Health Connect), REQ-FAC-004 IoT 출입 관리(게이트·기기·알림), REQ-FAC-043 원격 제어 센터(IoT 기기), REQ-APP-012 다중 인증 체크인(QR·안면·전화)","회원관리 / 운동·활동. 3사 비교: BroJ=×, OnFit=○, LessonBook=×, FitGenie=△. 핏지니 예측 분석으로 일부 대응 (사용자 ONF-11 부분/검토)",,"BroJ=×, OnFit=○, LessonBook=×, FitGenie=△",3사앱 기능매트릭스: lastspr/요구리스트관련자료/3사앱 확인/판도/기능매트릭스 비교_v5.xlsx::기능매트릭스!R16,1,원천 기능행
REQ-MBR-005,회원관리,AT-RISK 리스트,유사연계,"REQ-HQ-002, REQ-HQ-102, REQ-HQ-028, REQ-PAY-022, REQ-OPS-005, REQ-SET-020","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 회원등급/세그먼트. 예: REQ-HQ-002 AT-RISK 회수율, REQ-HQ-102 자동 생성 Task 리스트, REQ-HQ-028 Task 필터/정렬, REQ-PAY-022 레슨기록 DB Migration","Manager App > 회원 관리 > 회원 리스트. 방문 감소/운동 중단/결제 중단 위험이 있는 회원을 자동 분류한다.. Input=방문 기록, 루틴 사용량, GX/PT 출석률, 결제 패턴. Output=AT-RISK 회원 리스트, 위험도 점수. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R109,1,스포짐 원천요구
REQ-MBR-006,회원관리,BroJ 사이드패널 방식 (MEM-001에 UX 명시),부분포함,,상위 화면의 탭/필터/목록/모달/입력항목으로 포함될 수 있어 화면 단위 검토 필요,PRD_01 회원관리 — 추가 필요,,,BroJ vs OnFit PRD 보완: lastspr/요구리스트관련자료/3사앱 확인/심프로/비교분석_BroJ_vs_OnFit.md::L164,1,보완필요
REQ-MBR-007,회원관리,LOST 회원 리스트,유사연계,"REQ-HQ-102, REQ-PAY-071, REQ-FAC-023, REQ-HQ-017, REQ-HQ-114, REQ-HQ-002","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 회원등급/세그먼트. 예: REQ-HQ-102 자동 생성 Task 리스트, REQ-PAY-071 현장 판매(POS), REQ-FAC-023 민원 발생 트래킹, REQ-HQ-017 LTV (생애가치)","Manager App > 회원 관리 > 회원 리스트. 완전히 이탈된 회원을 기준에 따라 보여준다.. Input=만료일, 결제 중단, 방문 중단 기간. Output=LOST 리스트, 마지막 방문일. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R110,1,스포짐 원천요구
REQ-MBR-008,회원관리,LTV 변화 추이,유사연계,"REQ-HQ-017, REQ-HQ-114, REQ-PAY-050, REQ-CLS-021, REQ-PAY-052, REQ-PAY-054","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 회원등급/세그먼트. 예: REQ-HQ-017 LTV (생애가치), REQ-HQ-114 전체 회원 LTV, REQ-PAY-050 이용권 양도, REQ-CLS-021 PT 패키지 선택","HQ Dashboard > 캠페인/프로모션 분석 > LTV 분석. 캠페인 전/후 특정 세그먼트(LTV 상위, 신규 등)의 LTV 변화 추이를 분석한다.. Input=LTV Score, 결제 이력, 방문 패턴, 캠페인 참여 여부. Output=LTV 평균/중위수 변화, 세그먼트별 그래프. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R142,1,스포짐 원천요구
REQ-MBR-009,회원관리,PT/재등록 예측 모델,유사연계,"REQ-HQ-106, REQ-HQ-108, REQ-CLS-016, REQ-HQ-036, REQ-PAY-027, REQ-CLS-021","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=결제/수납/분할, 회원등급/세그먼트. 예: REQ-HQ-106 재등록률, REQ-HQ-108 재등록 전환율, REQ-CLS-016 PT 재구매율 비교, REQ-HQ-036 당월 재등록률 표시","Manager App > 회원 관리 > 회원 분석. AI 기반으로 회원의 PT 구매 가능성, 재등록 확률을 예측해 순위화해 보여준다.. Input=P-Score, LTV Score, 운동 패턴, 결제 이력. Output=예측 점수(0~100), 추천 액션 리스트. 대안=",,,스포짐 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/스포짐FG_수정_공유 2025_1228.xlsx::4. (수정)VC 디스크립션!R112,1,스포짐 원천요구
REQ-MBR-010,회원관리,QR 출입 관리 시스템,유사연계,"REQ-RSV-008, REQ-FAC-004, REQ-HQ-043, REQ-APP-004, REQ-PAY-031, REQ-CLS-051","동일 주제권이나 화면/도메인/운영 목적 차이 가능. 관련그룹=대시보드/KPI, 자동알림/메시지, 출입/키오스크/모바일. 예: REQ-RSV-008 QR/바코드 출석, REQ-FAC-004 IoT 출입 관리(게이트·기기·알림), REQ-HQ-043 - 디지털 회원증 (QR코드 기반 출입), REQ-APP-004 QR 체크인(자가 출석)",시스템=; KPI=활성 회원 비율 (Branch Manager); 효과=QR 출입으로 회원 출석 데이터 실시간 수집. 미출석 회원 자동 감지 및 알림으로 활성 회원 70%+ 유지; 흐름=QR 출입 → 실시간 출석 기록 → 미출석 감지 → 자동 알림 → 활성 비율 측정,,,대시보드/KPI 요구사항: lastspr/요구리스트관련자료/스포짐요구사항/DashBoard_단계별_KPI_Structure_2026_0127 - 복사본.xlsx::3. 시스템 & 운영_비용관리!R22,1,대시보드/KPI
