row	????	?????	???? ?? ??_26.05.19	?? ?? ??_26.05.20
39	SET-02-01	역할 목록	7종 기본 템플릿이 뭔지 기능리스트에서 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 7종 기본 템플릿은 superAdmin, primary, owner, manager, fc, staff, readonly입니다. 직원 직무값이 아니라 로그인 계정에 부여되는 권한 역할 템플릿입니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-02-권한설정/00-기본기능.md"
40	SET-02-02	권한 매트릭스	기능리스트에서 9메뉴, 5종이 뭔지 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 권한 매트릭스는 9개 메뉴 그룹(회원, 수업, 매출, 상품, 직원, 급여, 시설, 메시지, 설정) x 5종 권한(접근, 조회, 생성, 수정, 삭제)입니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-02-권한설정/00-기본기능.md"
42	SET-02-04	민감 기능	민감 기능이 무엇인지 확인해야 판단 가능	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 민감 기능은 회원 영구 삭제, 환불 처리, 급여 확정·지급, 슈퍼관리자 권한 부여/회수, 데이터 복원, 감사로그 내보내기입니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-02-권한설정/00-기본기능.md"
48	SET-02-10	저장	기본적인 저장이라면 가능하지만, SET-02-10-01에 적힌 영향 분석이 무엇인지에 따라 판단이 달라짐	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. SET-02-10-01 영향 분석은 예측 리포트가 아니라 저장 전 확인 안내입니다. 배정 직원 수, 담당 회원 합계, 영향 직원 목록, 권한 변경 전후 차이를 보여줍니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-02-권한설정/00-기본기능.md"
58	SET-01-01	기본정보	업종 11종 다중이 무엇인지 확인 불가, 단순 VAT 설정인지 세금계산서 연동이 필요한 추가 사항인지 확인 불가	"[기획 답변] 제로스트 의견처럼 계약서 명시/유무상 판단과 기획 설명은 분리됩니다. 해당 항목의 기획 기준은 다음과 같고, 최종 계약 범위 판단은 판도-제로스트 협의 사항입니다. 업종 11종은 헬스, 필라테스, PT샵, 골프, 요가, 크로스핏, 복싱, 수영, 태권도, 스피닝, 기타입니다. VAT 설정은 부가세 포함/별도 표시 토글이며, 세금계산서 외부 연동 자체를 의미하지 않습니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-01-센터설정/00-기본기능.md"
59	SET-01-02	알림설정	기능리스트에 있는 앱 푸시, 이메일, SMS 종류들 각각 무엇인지 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 알림 설정은 앱 푸시 5종(입장, 만료 임박, 결제 완료, 수업 예약, 수업 취소), 이메일 2종(주간 리포트, 만료 예정), SMS 2종(결제 완료, 만료 임박)입니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-01-센터설정/00-기본기능.md"
60	SET-01-03	테마설정	화면모드 3종이 모바일, 태블릿 반응형을 말하는 것인지 확인 필요. 맞다면 반응형 UI는 계약 범위 밖	"[기획 답변] 제로스트 의견의 계약 범위 이견과 구분해 답변드립니다. 기능 정의는 기획 문서 기준 다음과 같습니다. 화면모드 3종은 관리자 화면 테마 설정입니다. 모바일/태블릿 반응형 UI 범위를 의미하지 않습니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-01-센터설정/00-기본기능.md"
61	SET-01-04	물품 관리	재고, 잔여 수량, 1일 발급 한도를 구현하기 위해서는 DB 수정과 별도 UI가 필요하다고 판단 	"[기획 답변] 제로스트의 판단불가 사유에 대해 기능 의미를 다음과 같이 명확히 정리합니다. 물품 관리는 수건 대, 수건 소, 운동복 상의, 운동복 하의 4종의 재고 수량, 1일 발급 한도, 잔여 수량 자동 계산을 의미합니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-01-센터설정/00-기본기능.md"
84	SET-EXT-03-06	다운로드	어떤 항목을 다운 받는 것인지 확인 필요	"[기획 답변] 제로스트 O열 의견을 기준으로 답변드립니다. 다운로드 대상은 백업 이력의 백업 파일(.tar.gz 등)입니다. 권한 검증 후 서명 URL을 발급하며 다운로드 링크 유효기간은 1시간입니다. 백업 파일은 암호화 및 checksum 검증 대상입니다.
근거 문서: admin/기능명세서/D09-설정관리/SET-EXT-03-데이터백업복원/00-기본기능.md"
89	DASH-01-04	주의 대상 위젯	주의 대상 위젯이 정확히 무엇인지 고객사 피드백 내용만으로는 확인 불가	"[기획 답변] 제로스트가 O열에서 확인 요청한 세부값은 기획 문서 기준 다음과 같습니다. 주의 대상 위젯 4종은 생일, 미수금, 홀딩, 만료 임박입니다. 각 위젯은 대상 회원 목록과 전체보기/상세 진입 링크를 제공합니다.
근거 문서: admin/기능명세서/D10-본사관리/DASH-01-대시보드/00-기본기능.md"
