,시스템 & 운영/비용관리 - FitGenie 시스템은 잘 작동되는가?   Vs. 스포짐) FitGenie 시스템을 스포짐이 잘 활용하고 있는가/효과가 있는가?,,,,,,,,,,,,
,,,,,,,,,,,,,
,system,system_feature,KPI,Formula,relationship_type,Input Data,Input Data 생성방법,impact_mechanism ,"mechanism_health
:  시스템이 잘 작동되는가?",quantified_impact_Target,"User_health
:  시스템을 잘 사용하는가?
: 시스템의 현장적용 효과가 훌륭한가?",data_flow,correlation
1,1) 프로그램 운영 자동화,PT 세션 자동 차감,PT 완료율 (PT Trainer),(완료 세션 수 / 예약 세션 수) × 100,직접 영향,"1. 예약 데이터
2. 세션 완료 데이터","1. 회원 앱에서 수업/세션 예약 시 입력되어 저장된 Data를 가져온다
2. 트레이너가 세션 종료 시 직원 앱에서 완료 처리하여 저장된 Data를 가져온다",PT 세션을 자동으로 차감하여 트레이너가 수동 관리에 소비하는 시간을 67% 절감. 실시간 잔여 세션 알림으로 노쇼 방지 및 완료율 향상,"출석 체크 시 PT 세션을 자동 차감하고, 잔여 세션이 5회 이하일 경우 트레이너와 회원에게 실시간 알림을 발송하여 재구매 타이밍을 놓치지 않도록 지원합니다.","PT 완료율 85%+ 달성, 
트레이너 관리 시간 67% 절감","PT 트레이너가 예약된 PT 세션을 85% 이상 완료했는지, 노쇼 발생 시 즉각 재예약 조치를 취했는지, 잔여 세션 알림을 받고 재구매 상담을 진행했는지를 평가합니다.",예약 데이터 → 출석 체크 → 자동 차감 → 잔여 알림 → 완료율 측정,0.88
2,,노쇼 15분 자동 감지 및 알림,노쇼율 (PT Trainer),(노쇼 세션 수 / 전체 예약 세션 수) × 100,직접 영향,"1. 예약 데이터
2. 노쇼 데이터","1. 회원 앱에서 수업/세션 예약 시 입력되어 저장된 Data를 가져온다
2. 예약 후 출석하지 않은 경우 시스템이 자동으로 15분 후 노쇼로 감지하여 저장된 Data를 가져온다",예약 시간 15분 경과 시 자동 감지하여 트레이너/회원/매니저에게 실시간 알림. 즉각 재예약 유도로 노쇼율 5% 이하 달성,"예약 시간 15분 경과 시 시스템이 자동으로 노쇼를 감지하고, 트레이너·회원·매니저에게 즉시 푸시 알림을 발송하여 재예약 프로세스를 시작합니다.","노쇼율 5% 이하, 
재예약 전환율 40%","PT 트레이너가 노쇼 알림을 받은 후 15분 이내에 회원과 연락하여 재예약을 시도했는지, 노쇼율 5% 이하를 달성했는지를 평가합니다.",예약 시간 → 15분 경과 감지 → 자동 알림 → 재예약 프로세스 → 노쇼율 측정,0.82
3,,PT 종료 자동 감지 및 재구매 상담 리스트 생성,PT 재구매율 (PT Trainer),(재구매 회원 수 / PT 종료 회원 수) × 100,직접 영향,"1. 회원권 만료 데이터
2. 재등록/재구매 데이터","1. 회원 계약 시 저장된 만료일을 기준으로 시스템이 자동 계산하여 만료 예정 회원을 집계한 Data를 가져온다
2. 재등록 또는 재구매 계약 시 저장된 Data를 가져온다",세션 종료 3회 전 자동 감지하여 재구매 상담 리스트를 FC/트레이너에게 제공. AI 추천 패키지로 재구매율 30%+ 달성,"회원의 잔여 PT 세션이 3회 이하로 감소하면 시스템이 자동 감지하여 FC와 트레이너에게 재구매 상담 대상 리스트를 생성하고, AI 기반 추천 패키지를 제시합니다.","PT 재구매율 30%+, 
재구매 전환 시간 50% 단축","PT 트레이너가 재구매 상담 리스트를 받은 후 3일 이내에 회원과 상담을 진행했는지, AI 추천 패키지를 활용하여 재구매율 30% 이상을 달성했는지를 평가합니다.",잔여 세션 모니터링 → 3회 전 감지 → 상담 리스트 생성 → AI 패키지 추천 → 재구매율 측정,0.86
4,,GX 수업 예약 및 출석 자동화,수업 출석률 (GX/필라테스 강사),(출석 인원 / 예약 인원) × 100,직접 영향,"1. 출석 데이터
2. 예약 데이터","1. 회원이 출석할 때 QR code 입력 또는 얼굴인식 입력하여 저장된 Data를 가져온다
2. 회원 앱에서 수업/세션 예약 시 입력되어 저장된 Data를 가져온다",GX 예약 자동 관리 및 출석 QR 체크로 강사의 수동 관리 부담 제거. 출석 데이터 실시간 수집으로 출석률 80%+ 달성,"GX/필라테스 수업 예약을 모바일 앱에서 실시간 관리하고, QR 코드 스캔으로 출석을 자동 체크하여 강사의 수동 관리 부담을 제거합니다.","수업 출석률 80%+, 
강사 관리 시간 70% 절감","GX/필라테스 강사가 수업 예약 및 출석 데이터를 확인하고, 출석률이 80% 이상인지, 미출석 회원에게 후속 조치를 취했는지를 평가합니다.",예약 데이터 → QR 출석 체크 → 실시간 집계 → 출석률 측정,0.79
5,,GX 종료 후 자동 만족도 조사,수업 만족도 (GX/필라테스 강사),평균 만족도 = Σ(수업별 평가 점수) / 평가 응답 수,간접 영향,1. 만족도 평가 데이터,1. 회원 앱 또는 자동 설문을 통해 수집된 평가 점수 Data를 가져온다,수업 종료 즉시 자동 만족도 조사 발송. 실시간 피드백으로 강사 품질 개선 및 만족도 4.0/5.0+ 유지,"수업 종료 즉시 참여 회원에게 자동으로 만족도 조사 링크를 발송하고, 응답 데이터를 실시간으로 수집·분석하여 강사 피드백에 활용합니다.","수업 만족도 4.0+, 
피드백 수집률 85%+","GX/필라테스 강사가 수업 종료 후 만족도 조사 결과를 확인하고, 4.0/5.0 이상의 만족도를 유지했는지, 부정 피드백에 대한 개선 조치를 취했는지를 평가합니다.",수업 종료 → 자동 설문 발송 → 피드백 수집 → 만족도 분석,0.81
6,,GX 재참여율 추적 및 알림,재참여율 (GX/필라테스 강사),(재등록 회원 수 / 프로그램 종료 회원 수) × 100,직접 영향,"1. 회원권 만료 데이터
2. 재등록/재구매 데이터","1. 회원 계약 시 저장된 만료일을 기준으로 시스템이 자동 계산하여 만료 예정 회원을 집계한 Data를 가져온다
2. 재등록 또는 재구매 계약 시 저장된 Data를 가져온다",수강 종료 후 재등록 여부 추적. 미등록 회원에게 자동 알림 및 특별 혜택 제공으로 재참여율 65%+ 달성,"수강 종료 회원의 재등록 여부를 추적하고, 미등록 회원에게 자동 알림 및 특별 프로모션을 제공하여 재참여를 유도합니다.","재참여율 65%+, 
재등록 전환율 45%","GX/필라테스 강사가 수강 종료 회원에게 재등록 안내를 진행했는지, 재참여율 65% 이상을 달성했는지를 평가합니다.",수강 종료 → 재등록 추적 → 미등록 감지 → 자동 알림 → 재참여율 측정,0.77
7,,자동알림(신규) 트리거,자동알림(신규) 진행률,(실행된 자동알림수(신규)/ 접수된 자동알림수(신규)) × 100,간접 영향,"1. 실행된 자동알림수(신규)
2. 접수된 자동알림수(신규)","1. 시스템에 저장된 관련 Data를 가져온다
   : 실행된 자동알림수(신규)
   : 접수된 자동알림수(신규)","신규회원 정착률 향상(30 일 안정율↑),재등록 증가(RR↑)를 위해 회원 행동 데이터 기반 자동 알림(Trigger)을 운영한다.","같은 날 두 개 이상 알림이 발생하면 우선순위 높은 메시지만 발송.
1 순위: 이탈 위험 (14 일)
2 순위: 회원권 만료(D-1)
3 순위: 신규 7 일·30 일 체크
4 순위: 10 일 미방문 + PT 잔여
5 순위: 일반 신규 루틴 알림",,,,
