edgeId,diagramId,fromNode,toNode,label,actor,tcId,tcType,priority,automated,notes
E_SCR_M001_SCR_M002_01,F2_SCR-M001,SCR_M001,SCR_M002,회원 추가 클릭,manager,TC-M001-03,positive,P0,Y,
E_SCR_M001_Blocked_01,F7_SCR-M001,SCR_M001,Blocked,권한없음 차단,readonly,TC-M001-04-NEG,negative,P0,Y,
E_SCR_M002_DLG_M006_01,F2_SCR-M002,SCR_M002,DLG_M006,연락처 중복 감지,manager,TC-M002-05-NEG,negative,P0,Y,
E_SCR_M002_Toast_OK_01,F2_SCR-M002,ACTION_SAVE,TOAST_OK,등록 성공,manager,TC-M002-01,positive,P0,Y,
E_SCR_M002_Toast_ERR_01,F8_SCR-M002,ACTION_SAVE,TOAST_ERR,서버 오류 500,manager,TC-M002-08-EXC,exception,P1,N,PG 모킹 필요
E_DETECT,SITEMAP_N6,,,"",manager,TC-SITEMAP-001,positive,P2,Y,
E_TOAST,SITEMAP_N6,,,"",manager,TC-SITEMAP-002,positive,P2,Y,
E_REDIRECT,SITEMAP_N6,,,"",manager,TC-SITEMAP-003,positive,P2,Y,
E_LOGIN,SITEMAP_N6,,,"",manager,TC-SITEMAP-004,positive,P2,Y,
E_RETURN,SITEMAP_N6,,,"",manager,TC-SITEMAP-005,positive,P2,Y,
E_RETRY,SITEMAP_N6,,,"",manager,TC-SITEMAP-006,positive,P2,Y,
E_FAIL,SITEMAP_N6,,,"",manager,TC-SITEMAP-007,positive,P2,Y,
E_LEAD_INQUIRY_01,X01,,,"",manager,TC-X01-001,positive,P2,Y,
E_FC_CREATE_LEAD_01,X01,,,"",manager,TC-X01-002,positive,P2,Y,
E_FC_UPDATE_LEAD_01,X01,,,"",manager,TC-X01-003,positive,P2,Y,
E_FC_HANDOVER_01,X01,,,"",manager,TC-X01-004,positive,P2,Y,
E_M_CREATE_MEMBER_01,X01,,,"",manager,TC-X01-005,positive,P2,Y,
E_M_GET_PRODUCTS_01,X01,,,"",manager,TC-X01-006,positive,P2,Y,
E_M_CREATE_SALE_01,X01,,,"",manager,TC-X01-007,positive,P2,Y,
E_PG_APPROVE_01,X01,,,"",manager,TC-X01-008,positive,P2,Y,
E_PG_FAIL_01,X01,,,"",manager,TC-X01-009,positive,P2,Y,
E_FC_PEND_LEAD_01,X01,,,"",manager,TC-X01-010,positive,P2,Y,
E_MB_RENEW_REQUEST_01,X02,,,"",manager,TC-X02-001,positive,P2,Y,
E_M_GET_MEMBERSHIPS_01,X02,,,"",manager,TC-X02-002,positive,P2,Y,
E_M_GET_COUPONS_01,X02,,,"",manager,TC-X02-003,positive,P2,Y,
E_M_GET_PRODUCT_01,X02,,,"",manager,TC-X02-004,positive,P2,Y,
E_M_PREVIEW_SALE_01,X02,,,"",manager,TC-X02-005,positive,P2,Y,
E_M_CREATE_SALE_02,X02,,,"",manager,TC-X02-006,positive,P2,Y,
E_SCH_NOSHOW_CHECK_01,X03,,,"",manager,TC-X03-001,positive,P2,Y,
E_API_AUTO_NOSHOW_01,X03,,,"",manager,TC-X03-002,positive,P2,Y,
E_API_NOTIFY_NOSHOW_01,X03,,,"",manager,TC-X03-003,positive,P2,Y,
E_T_MANUAL_NOSHOW_01,X03,,,"",manager,TC-X03-004,positive,P2,Y,
E_MB_DISPUTE_01,X03,,,"",manager,TC-X03-005,positive,P2,Y,
E_T_DISPUTE_PENALTY_01,X03,,,"",manager,TC-X03-006,positive,P2,Y,
E_MB_MEASURE_01,X04,,,"",manager,TC-X04-001,positive,P2,Y,
E_IB_SEND_DATA_01,X04,,,"",manager,TC-X04-002,positive,P2,Y,
E_API_GET_PREV_01,X04,,,"",manager,TC-X04-003,positive,P2,Y,
E_API_ANALYZE_01,X04,,,"",manager,TC-X04-004,positive,P2,Y,
E_API_NOTIFY_FC_01,X04,,,"",manager,TC-X04-005,positive,P2,Y,
E_API_MEMBER_NOT_FOUND_01,X04,,,"",manager,TC-X04-006,positive,P2,Y,
E_FC_VIEW_BODY_01,X04,,,"",manager,TC-X04-007,positive,P2,Y,
E_F_SEARCH_MEMBER_01,X05,,,"",manager,TC-X05-001,positive,P2,Y,
E_F_GET_PRODUCTS_01,X05,,,"",manager,TC-X05-002,positive,P2,Y,
E_F_PREVIEW_01,X05,,,"",manager,TC-X05-003,positive,P2,Y,
E_F_CREATE_SALE_01,X05,,,"",manager,TC-X05-004,positive,P2,Y,
E_API_RECEIPT_01,X05,,,"",manager,TC-X05-005,positive,P2,Y,
E_PG_LIMIT_01,X05,,,"",manager,TC-X05-006,positive,P2,Y,
E_PG_CARD_ERR_01,X05,,,"",manager,TC-X05-007,positive,P2,Y,
E_PG_TIMEOUT_01,X05,,,"",manager,TC-X05-008,positive,P2,Y,
E_MB_REFUND_REQUEST_01,X06,,,"",manager,TC-X06-001,positive,P2,Y,
E_M_GET_SALES_01,X06,,,"",manager,TC-X06-002,positive,P2,Y,
E_M_REFUND_PREVIEW_01,X06,,,"",manager,TC-X06-003,positive,P2,Y,
E_M_APPROVE_REFUND_01,X06,,,"",manager,TC-X06-004,positive,P2,Y,
E_PG_CANCEL_OK_01,X06,,,"",manager,TC-X06-005,positive,P2,Y,
E_API_NOTIFY_REFUND_01,X06,,,"",manager,TC-X06-006,positive,P2,Y,
E_PG_CANCEL_FAIL_01,X06,,,"",manager,TC-X06-007,positive,P2,Y,
E_M_REJECT_REFUND_01,X06,,,"",manager,TC-X06-008,positive,P2,Y,
E_SCH_LOCKER_CHECK_01,X07,,,"",manager,TC-X07-001,positive,P2,Y,
E_API_LOCKER_NOTIFY_01,X07,,,"",manager,TC-X07-002,positive,P2,Y,
E_MB_LOCKER_EXTEND_01,X07,,,"",manager,TC-X07-003,positive,P2,Y,
E_M_GET_LOCKER_01,X07,,,"",manager,TC-X07-004,positive,P2,Y,
E_M_LOCKER_SALE_01,X07,,,"",manager,TC-X07-005,positive,P2,Y,
E_API_LOCKER_EXTEND_NOTIFY_01,X07,,,"",manager,TC-X07-006,positive,P2,Y,
E_SCH_LOCKER_EXPIRE_01,X07,,,"",manager,TC-X07-007,positive,P2,Y,
E_E_CHECKIN_01,X08,,,"",manager,TC-X08-001,positive,P2,Y,
E_E_CHECKOUT_01,X08,,,"",manager,TC-X08-002,positive,P2,Y,
E_M_FIX_ATTEND_01,X08,,,"",manager,TC-X08-003,positive,P2,Y,
E_SCH_SALARY_CALC_01,X08,,,"",manager,TC-X08-004,positive,P2,Y,
E_API_GET_POLICY_01,X08,,,"",manager,TC-X08-005,positive,P2,Y,
E_M_GET_PAYROLLS_01,X08,,,"",manager,TC-X08-006,positive,P2,Y,
E_M_APPROVE_PAYROLL_01,X08,,,"",manager,TC-X08-007,positive,P2,Y,
E_API_SEND_PAYSLIP_01,X08,,,"",manager,TC-X08-008,positive,P2,Y,
E_SCH_KPI_ROLLUP_01,X09,,,"",manager,TC-X09-001,positive,P2,Y,
E_API_FETCH_RAW_01,X09,,,"",manager,TC-X09-002,positive,P2,Y,
E_API_AGG_REQUEST_01,X09,,,"",manager,TC-X09-003,positive,P2,Y,
E_API_HQ_ROLLUP_01,X09,,,"",manager,TC-X09-004,positive,P2,Y,
E_API_INSERT_KPI_01,X09,,,"",manager,TC-X09-005,positive,P2,Y,
E_API_INSERT_REPORT_01,X09,,,"",manager,TC-X09-006,positive,P2,Y,
E_API_KPI_ALERT_01,X09,,,"",manager,TC-X09-007,positive,P2,Y,
E_API_REPORT_NOTIFY_01,X09,,,"",manager,TC-X09-008,positive,P2,Y,
E_HQ_GET_REPORT_01,X09,,,"",manager,TC-X09-009,positive,P2,Y,
