key,label,kind,values,count,file,line,heading,raw
iot_device_types,IoT 기기 종류,canonical,InBody 측정기 / 락커 컨트롤러 / 출입 게이트 / 키오스크,4,_공통/00_KIOSK_연동매트릭스.md,5,KIOSK / IoT 연동 매트릭스,> CRM에서 고정으로 사용하는 기기 종류는 출입 게이트 / 키오스크 / 락커 컨트롤러 / InBody 측정기 4종입니다.
class_session_types,강습 세션 유형,canonical,PT / GX / 골프 / 기타,,_공통/KPI_지표정의.md,50,KPI 지표 정의 > 4. 강습 세션 유형과 GX 세부종목,"- 강습 세션 유형은 PT, GX, 골프, 기타입니다."
gx_subcategories,GX 세부종목,canonical,GX 기타 / 필라테스 / 스피닝 / 요가 / 줌바,,_공통/KPI_지표정의.md,52,KPI 지표 정의 > 4. 강습 세션 유형과 GX 세부종목,"- GX 세부종목은 요가, 필라테스, 스피닝, 줌바, GX 기타입니다."
generic::global::성격,성격,generic,날짜 기준 대상 산출 / 배너 / 알림 큐 동기화,,_공통/공통참조_코드인덱스.md,28,공통 참조 코드 인덱스 > 3. 공통 코드 기준 > NFR-05 만료/기한 알림 배치,- 성격: 날짜 기준 대상 산출과 배지·배너·알림 큐 동기화.
role_codes,권한 역할 코드,canonical,superAdmin / readonly / primary / manager / trainer / owner / staff / fc,8,_공통/권한매트릭스.md,4,공통 권한 매트릭스 > 기본 역할 원칙,"- 관리자 웹 기본 권한 역할 코드는 superAdmin, primary, owner, manager, fc, trainer, staff, readonly 8종으로 고정합니다. owner의 화면 표시명은 Owner(지점장)으로 통일합니다."
iot_device_types,IoT 기기 종류,canonical,InBody 측정기 / 락커 컨트롤러 / 출입 게이트 / 키오스크,4,_공통/외부연동_현황.md,107,공통 외부연동 현황 > 4. 기기 연동,"CRM에서 고정으로 인식하는 기기 종류는 출입 게이트, 키오스크, 락커 컨트롤러, InBody 측정기 4종입니다."
signup_paths,가입경로,canonical,지역카페 / 회원소개 / 블로그 / 인스타 / 현수막 / 전단지 / 간판 / 당근 / 기타,9,V1/D02-회원관리/운영정책.md,23,D02-회원관리 회원관리 — 운영정책 > 1. 핵심 원칙,"- 외부 신규 DB 컬럼 매핑: 경로 필드는 문의 유형(방문(WI) / 전화문의(TI) / 체험 / 일일입장)으로 매핑하고, 상세 경로1과 상세 경로2는 가입경로 단일 필드로 통합 매핑한다. 가입경로 9종은 간판 / 블로그 / 인스타 / 당근 / 지역카페 / 현수막 / 전단지 / 회원소개 / 기타로 고정한다."
signup_paths,가입경로,canonical,지역카페 / 회원소개 / 블로그 / 인스타 / 현수막 / 전단지 / 간판 / 당근 / 기타,9,V1/D02-회원관리/운영정책.md,26,D02-회원관리 회원관리 — 운영정책 > 1. 핵심 원칙,"- 리드 단계의 가입경로와 실제 첫 정상 결제 완료 회원의 가입경로는 다를 수 있으므로, 첫 정상 결제 완료 기준 가입경로 분포를 별도 표시한다. 가입경로 집계는 간판 / 블로그 / 인스타 / 당근 / 지역카페 / 현수막 / 전단지 / 회원소개 / 기타 9종을 기준으로 한다."
member_status_tabs,회원 상태 필터 탭,canonical,미등록 / 전체 / 활성 / 만료 / 예정 / 임박 / 홀딩 / 탈퇴,8,V1/D02-회원관리/운영정책.md,50,D02-회원관리 회원관리 — 운영정책 > 2. 상태 / 운영 정의 > 메인 탭 + 상태 필터,"- 상태 필터 탭 (회원 전체 탭 내부): 전체 / 활성 / 만료 / 예정 / 임박 / 홀딩 / 미등록 / 탈퇴 총 8개 탭 + 건수 배지. 전체는 집계 탭이고, 나머지 7개는 실제 회원 상태값이다. 예정, 임박, 탈퇴도 실제 회원 상태로 관리하며 자동 라벨이나 단순 표시 배지와 혼동하지 않는다. 정지는 회원 상태값이 아니라 현재 상태 위에 적용되는 이용 제한 플래그로 관리한다."
generic::global::연락처 중복 시 (DLG-M006),연락처 중복 시 (DLG-M006),generic,이용권 상태) 표시 / 기존 회원으로 이동 / 강제 등록(법인 동일 번호 등 / 닫기] 3선택지,,V1/D02-회원관리/운영정책.md,68,D02-회원관리 회원관리 — 운영정책 > 2. 상태 / 운영 정의 > 메인 탭 + 상태 필터,- 연락처 중복 시 (DLG-M006): 동일 연락처가 활성 회원에 존재 -> 모달에 기존 회원 카드(이름·이용권 상태) 표시 + [기존 회원으로 이동] / [강제 등록(법인 동일 번호 등)] / [닫기] 3선택지
generic::SCR-M001::요약 지표 카드 (4개) (MBR-01-01),요약 지표 카드 (4개) (MBR-01-01),generic,전체 회원 수 / 활성 회원 수 / 정책상 조치 대상 회원 수 / 이번 달 만료 수를 한눈에 표시,4,V1/D02-회원관리/회원관리.md,31,D02-회원관리 회원관리 > SCR-M001 회원 목록 > 2. UI 구성,"- 요약 지표 카드 (4개) (MBR-01-01): 전체 회원 수 / 활성 회원 수 / 정책상 조치 대상 회원 수 / 이번 달 만료 수를 한눈에 표시. 카드 클릭 시 카드별 정의된 목록 필터가 적용됩니다. 정책상 조치 대상 회원 수는 HQ-09 회원 이용권 만료 step 대상, 이번 달 만료 수는 당월 실제 만료일 도래 회원입니다."
